seq0|0|training,84,134,131,66,12,19,39,14,32,45,30,26,36,47,34,14,4,23,27,12,0,3,7,2,4,8,4,3,13,15,9,2,1,7,4,2,3,9,15,5,12,12,12,9,9,9,6,6,0,7,14,5,9,7,17,3,10,14,12,10,7,15,9,3,2,4,6,2,0,0,0,4,6,11,2,4,6,8,10,3,1,5,3,3
seq3|0|training,69,157,131,58,7,17,37,8,33,65,26,33,25,52,44,10,3,23,24,7,0,0,6,1,0,11,4,2,5,17,14,1,0,5,2,1,1,11,17,4,13,25,11,16,5,9,9,3,1,12,16,3,5,4,14,2,11,20,9,12,9,19,12,4,1,5,4,0,0,2,0,1,9,9,2,3,6,7,9,2,1,1,2,3
seq7|0|training,87,78,93,52,39,12,28,7,23,25,9,21,20,25,34,14,4,16,22,10,27,2,5,4,3,1,4,4,5,13,9,1,4,0,2,1,2,3,17,1,7,11,2,5,2,1,3,3,0,5,12,4,6,6,6,2,7,10,1,7,8,6,12,8,0,7,6,1,3,1,0,0,6,3,2,5,5,5,10,2,0,4,2,4
seq8|0|training,81,132,112,90,17,25,26,13,36,41,17,38,19,38,28,26,9,27,41,13,2,4,9,2,7,8,4,6,6,9,3,8,2,3,8,0,9,10,9,8,7,9,7,18,0,8,6,3,2,9,19,8,6,5,8,0,14,14,3,7,8,6,5,8,5,7,12,2,0,6,0,3,8,10,3,6,5,15,14,7,0,8,2,3
seq10|0|training,74,139,116,86,14,20,26,14,34,45,20,39,19,43,33,21,7,31,37,11,0,4,8,2,3,7,3,7,2,12,8,4,0,9,4,1,9,6,10,9,9,13,9,14,3,4,9,4,2,8,22,7,5,4,8,2,12,12,3,15,9,9,8,7,4,6,9,2,0,6,0,1,10,13,5,3,5,18,8,6,0,8,2,1
seq12|0|training,23,95,92,29,2,9,9,3,8,35,38,14,13,39,28,11,0,11,17,1,0,2,0,0,2,3,4,0,1,4,4,0,0,1,2,0,1,4,1,2,2,10,17,6,2,16,14,5,0,7,6,1,1,3,8,1,2,14,16,7,10,10,3,5,0,3,8,0,0,0,0,0,2,7,1,1,0,9,7,1,0,0,1,0
seq14|0|training,76,128,138,73,18,24,24,10,25,47,27,29,30,37,46,24,3,20,40,10,2,8,7,1,4,11,4,5,7,8,7,2,2,4,4,0,8,7,7,3,11,16,8,12,3,3,15,6,0,7,16,6,7,7,10,6,4,14,13,6,14,12,12,7,1,4,17,2,1,2,0,0,6,6,2,6,6,14,12,8,0,5,3,2
seq18|0|training,53,156,150,56,9,17,24,3,21,53,56,26,21,70,35,23,2,16,34,4,0,3,4,2,1,7,8,1,4,14,3,3,0,1,2,0,5,2,13,1,7,15,17,14,10,20,16,10,2,7,14,3,4,10,7,0,11,26,25,8,5,17,11,2,0,5,17,1,0,2,0,0,2,5,6,3,2,19,4,8,0,3,1,0
seq23|0|training,56,143,132,84,6,14,27,9,23,60,22,38,25,45,43,19,2,24,40,17,0,0,4,2,6,4,1,3,4,8,13,2,1,1,4,2,3,7,12,1,7,22,11,20,2,5,9,6,1,13,17,7,3,7,10,5,6,21,6,12,10,16,12,5,0,5,13,1,0,0,1,1,4,13,4,3,9,16,9,6,0,5,5,7
seq26|0|training,57,143,127,88,6,17,24,10,23,59,13,47,22,43,42,20,5,24,48,11,1,1,2,2,4,7,1,5,5,8,11,0,1,4,4,1,4,6,11,2,15,19,5,20,3,3,2,5,1,12,30,4,1,7,11,3,2,22,4,15,5,15,17,5,2,3,11,4,0,2,0,3,2,11,3,7,9,17,12,10,1,5,3,2
seq28|0|training,96,113,96,73,43,12,28,12,28,46,13,26,17,26,29,24,8,29,26,10,26,4,7,5,1,5,1,5,4,9,9,6,1,6,5,0,6,4,14,4,14,20,4,8,2,2,4,5,3,8,10,5,7,3,5,2,7,9,5,5,3,9,11,6,1,12,9,2,4,1,2,1,6,12,3,8,8,6,5,7,3,3,1,3
seq30|0|training,25,80,77,34,3,6,11,5,6,33,29,12,16,26,22,12,0,15,14,5,1,0,2,0,0,3,1,2,5,2,3,1,0,3,2,0,1,2,2,1,1,12,15,5,3,12,8,6,0,3,6,3,1,4,7,4,4,8,9,5,4,9,5,3,0,6,4,2,0,0,0,0,1,10,4,0,4,2,6,2,0,3,2,0
seq33|0|training,106,118,131,60,21,34,40,11,35,33,31,19,46,32,34,19,4,18,26,11,5,8,7,1,8,12,11,3,8,14,12,6,0,4,5,2,7,8,13,7,11,8,11,3,12,8,5,6,2,8,8,1,9,14,20,3,10,9,5,8,16,5,7,6,2,2,10,5,0,4,0,0,6,4,4,4,10,5,10,1,0,4,3,3
